ts_iso,total_kb,peak_kb
16:01:12,14128,14128
16:01:12,72272,72272
16:01:13,868960,868960
16:01:13,4114112,4114112
16:01:14,7611264,7611264
16:01:14,10347792,10347792
16:01:15,13441488,13441488
16:01:16,14685776,14685776
16:01:16,14941504,14941504
16:01:17,14962400,14962400
16:01:17,15009184,15009184
16:01:18,15019168,15019168
16:01:18,15019728,15019728
16:01:19,15021040,15021040
16:01:19,14981328,15021040
16:01:20,14982288,15021040
16:01:20,14983184,15021040
16:01:21,14983184,15021040
16:01:22,14983312,15021040
16:01:22,14983392,15021040
16:01:23,0,15021040
