ts_iso,total_kb,peak_kb
16:00:33,23232,23232
16:00:33,64624,64624
16:00:34,138320,138320
16:00:34,220944,220944
16:00:35,274912,274912
16:00:35,328752,328752
16:00:36,386240,386240
16:00:37,441472,441472
16:00:37,479440,479440
16:00:38,627472,627472
16:00:38,752576,752576
16:00:39,873888,873888
16:00:39,988800,988800
16:00:40,1110112,1110112
16:00:41,1224896,1224896
16:00:41,1339936,1339936
16:00:42,1454848,1454848
16:00:42,1569744,1569744
16:00:43,1684656,1684656
16:00:44,1804032,1804032
16:00:44,1933360,1933360
16:00:45,2047280,2047280
16:00:45,2159856,2159856
16:00:46,2274720,2274720
16:00:47,2389536,2389536
16:00:47,2497984,2497984
16:00:48,2606432,2606432
16:00:48,2721296,2721296
16:00:49,2836160,2836160
16:00:49,2944608,2944608
16:00:50,3056240,3056240
16:00:51,3180656,3180656
16:00:51,3295520,3295520
16:00:52,3407152,3407152
16:00:52,3499744,3499744
16:00:53,3529168,3529168
16:00:54,2786224,3529168
16:00:54,2113632,3529168
16:00:55,1495552,3529168
16:00:55,696208,3529168
16:00:56,720544,3529168
16:00:57,737888,3529168
16:00:57,751168,3529168
16:00:58,792144,3529168
16:00:58,813136,3529168
16:00:59,831408,3529168
16:01:00,850032,3529168
16:01:00,867648,3529168
16:01:01,888000,3529168
16:01:01,906896,3529168
16:01:02,916512,3529168
16:01:02,916720,3529168
