ts_iso,total_kb,peak_kb
15:58:56,17264,17264
15:58:56,147456,147456
15:58:57,207104,207104
15:58:57,721232,721232
15:58:58,1526560,1526560
15:58:58,3051424,3051424
15:58:59,3248912,3248912
15:59:00,3248912,3248912
15:59:00,2023504,3248912
15:59:01,3751008,3751008
15:59:01,4574016,4574016
15:59:02,5408112,5408112
15:59:02,6013424,6013424
15:59:03,6242400,6242400
15:59:03,6870688,6870688
15:59:04,7482704,7482704
15:59:04,8175648,8175648
15:59:05,8975328,8975328
15:59:05,9299040,9299040
15:59:06,8129600,9299040
15:59:07,8150480,9299040
15:59:07,8172800,9299040
15:59:08,8184976,9299040
15:59:08,8204640,9299040
15:59:09,8219664,9299040
15:59:09,8222368,9299040
15:59:10,8229968,9299040
15:59:10,8234672,9299040
15:59:11,8234688,9299040
15:59:11,8234912,9299040
15:59:12,8262176,9299040
15:59:13,8262656,9299040
15:59:13,8285328,9299040
15:59:14,8285360,9299040
15:59:14,8285360,9299040
15:59:15,8285376,9299040
15:59:16,8285520,9299040
15:59:16,8310736,9299040
15:59:17,8394064,9299040
15:59:17,8539552,9299040
15:59:18,8554976,9299040
15:59:18,8555056,9299040
15:59:19,8555088,9299040
15:59:20,8555712,9299040
15:59:20,8555744,9299040
15:59:21,8555408,9299040
15:59:21,8555840,9299040
15:59:22,8556832,9299040
15:59:22,8557520,9299040
15:59:23,8558832,9299040
15:59:23,8559936,9299040
15:59:24,8561120,9299040
15:59:25,8569664,9299040
15:59:25,8569776,9299040
15:59:26,8570480,9299040
15:59:26,8583712,9299040
15:59:27,8584448,9299040
15:59:27,8584464,9299040
15:59:28,8584832,9299040
15:59:29,8586032,9299040
15:59:29,8587584,9299040
15:59:30,8587616,9299040
15:59:30,8587616,9299040
15:59:31,8595136,9299040
15:59:31,8595216,9299040
15:59:32,8595232,9299040
15:59:32,8595328,9299040
15:59:33,8602864,9299040
15:59:34,8602912,9299040
15:59:34,8602928,9299040
15:59:35,8610432,9299040
15:59:35,8625472,9299040
15:59:36,8625472,9299040
15:59:36,8625472,9299040
15:59:37,8625488,9299040
15:59:37,8625504,9299040
15:59:38,8625504,9299040
15:59:39,8625520,9299040
15:59:39,3616000,9299040
