ts_iso,total_kb,peak_kb
16:00:13,8768,8768
16:00:13,1006080,1006080
16:00:14,2124720,2124720
16:00:14,3617120,3617120
16:00:15,3686160,3686160
16:00:15,3784912,3784912
16:00:16,3785008,3785008
16:00:17,3785888,3785888
16:00:17,3788368,3788368
16:00:18,3788480,3788480
16:00:18,3788496,3788496
16:00:19,3788448,3788496
16:00:19,3788464,3788496
16:00:20,3815760,3815760
16:00:20,4310752,4310752
16:00:21,4443328,4443328
16:00:21,4443328,4443328
16:00:22,4443248,4443328
16:00:23,4443264,4443328
16:00:23,4443360,4443360
16:00:24,4443312,4443360
16:00:24,4443328,4443360
16:00:25,4443344,4443360
16:00:25,4443328,4443360
16:00:26,4443376,4443376
16:00:26,4443472,4443472
16:00:27,4443472,4443472
16:00:27,4443568,4443568
16:00:28,4443536,4443568
16:00:28,4443648,4443648
16:00:29,4443616,4443648
16:00:29,4443760,4443760
16:00:30,4443792,4443792
16:00:31,4443744,4443792
16:00:31,4443856,4443856
16:00:32,4443792,4443856
16:00:32,282944,4443856
