ts_iso,total_kb,peak_kb
15:59:45,15584,15584
15:59:45,151424,151424
15:59:46,208560,208560
15:59:46,240864,240864
15:59:47,260032,260032
15:59:47,317280,317280
15:59:48,368048,368048
15:59:48,417232,417232
15:59:49,470832,470832
15:59:49,515792,515792
15:59:50,1310512,1310512
15:59:51,2546048,2546048
15:59:51,3133328,3133328
15:59:52,4126608,4126608
15:59:52,5875344,5875344
15:59:53,7096336,7096336
15:59:53,7841840,7841840
15:59:54,7841264,7841840
15:59:55,8270576,8270576
15:59:55,8316832,8316832
15:59:56,8334800,8334800
15:59:56,8349824,8349824
15:59:57,8372336,8372336
15:59:57,8372368,8372368
15:59:58,8372192,8372368
15:59:59,8372256,8372368
15:59:59,8377712,8377712
16:00:00,8514384,8514384
16:00:00,8613808,8613808
16:00:01,8613840,8613840
16:00:01,8621344,8621344
16:00:02,8621344,8621344
16:00:03,8621376,8621376
16:00:03,8621376,8621376
16:00:04,8621376,8621376
16:00:04,8621392,8621392
16:00:05,8636512,8636512
16:00:05,8780944,8780944
16:00:06,8784448,8784448
16:00:07,8789200,8789200
16:00:07,8794432,8794432
16:00:08,8807200,8807200
16:00:08,8817984,8817984
16:00:09,8824096,8824096
16:00:09,8829632,8829632
16:00:10,8833776,8833776
16:00:11,8842864,8842864
16:00:11,3640416,8842864
16:00:12,3640704,8842864
16:00:12,0,8842864
